18.01 01:00:40 STATS: vdl.0 cache, locks:0
18.01 01:01:40 STATS: vdl.0 cache, locks:0
18.01 01:02:40 STATS: vdl.0 cache, locks:0
18.01 01:03:40 STATS: vdl.0 cache, locks:0
18.01 01:04:40 STATS: vdl.0 cache, locks:0
18.01 01:05:40 STATS: vdl.0 cache, locks:0
18.01 01:06:40 STATS: vdl.0 cache, locks:0
18.01 01:07:40 STATS: vdl.0 cache, locks:0
18.01 01:08:40 STATS: vdl.0 cache, locks:0
18.01 01:09:40 STATS: vdl.0 cache, locks:0
18.01 01:10:40 STATS: vdl.0 cache, locks:0
18.01 01:11:40 STATS: vdl.0 cache, locks:0
18.01 01:12:40 STATS: vdl.0 cache, locks:0
18.01 01:13:40 STATS: vdl.0 cache, locks:0
18.01 01:14:40 STATS: vdl.0 cache, locks:0
18.01 01:15:40 STATS: vdl.0 cache, locks:0
18.01 01:16:40 STATS: vdl.0 cache, locks:0
18.01 01:17:40 STATS: vdl.0 cache, locks:0
18.01 01:18:40 STATS: vdl.0 cache, locks:0
18.01 01:19:40 STATS: vdl.0 cache, locks:0
18.01 01:20:40 STATS: vdl.0 cache, locks:0
18.01 01:21:40 STATS: vdl.0 cache, locks:0
18.01 01:22:40 STATS: vdl.0 cache, locks:0
18.01 01:23:40 STATS: vdl.0 cache, locks:0
18.01 01:24:40 STATS: vdl.0 cache, locks:0
18.01 01:25:40 STATS: vdl.0 cache, locks:0
18.01 01:26:40 STATS: vdl.0 cache, locks:0
18.01 01:27:40 STATS: vdl.0 cache, locks:0
18.01 01:28:40 STATS: vdl.0 cache, locks:0
18.01 01:29:40 STATS: vdl.0 cache, locks:0
18.01 01:30:40 STATS: vdl.0 cache, locks:0
18.01 01:31:40 STATS: vdl.0 cache, locks:0
18.01 01:32:40 STATS: vdl.0 cache, locks:0
18.01 01:33:40 STATS: vdl.0 cache, locks:0
18.01 01:34:40 STATS: vdl.0 cache, locks:0
18.01 01:35:40 STATS: vdl.0 cache, locks:0
18.01 01:36:40 STATS: vdl.0 cache, locks:0
18.01 01:37:40 STATS: vdl.0 cache, locks:0
18.01 01:38:40 STATS: vdl.0 cache, locks:0
18.01 01:39:40 STATS: vdl.0 cache, locks:0
18.01 01:40:40 STATS: vdl.0 cache, locks:0
18.01 01:41:40 STATS: vdl.0 cache, locks:0
18.01 01:42:40 STATS: vdl.0 cache, locks:0
18.01 01:43:40 STATS: vdl.0 cache, locks:0
18.01 01:44:40 STATS: vdl.0 cache, locks:0
18.01 01:45:40 STATS: vdl.0 cache, locks:0
18.01 01:46:40 STATS: vdl.0 cache, locks:0
18.01 01:47:40 STATS: vdl.0 cache, locks:0
18.01 01:48:40 STATS: vdl.0 cache, locks:0
18.01 01:49:40 STATS: vdl.0 cache, locks:0
18.01 01:50:40 STATS: vdl.0 cache, locks:0
18.01 01:51:40 STATS: vdl.0 cache, locks:0
18.01 01:52:40 STATS: vdl.0 cache, locks:0
18.01 01:53:40 STATS: vdl.0 cache, locks:0
18.01 01:54:40 STATS: vdl.0 cache, locks:0
18.01 01:55:40 STATS: vdl.0 cache, locks:0
18.01 01:56:41 STATS: vdl.0 cache, locks:0
18.01 01:57:41 STATS: vdl.0 cache, locks:0
18.01 01:58:41 STATS: vdl.0 cache, locks:0
18.01 01:59:41 STATS: vdl.0 cache, locks:0
